bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-CMH0001_ses-01_task-emp_run-1_bold	0.000957968069666183	0.020591648911465896	5	59.08949437815413	1.0380730207558146	0.9871797629651157	0.5077	2506.866	0.2183052692171715	250	36.2844702467344	2.9635324213860894	3.2383734315260373	2.75775883263223	2.894465	0.0108166	0.02899397350847721	0.038772858679294586	689	106	106	72	2.13812623279833	0.800000011920929	1.9622999429702759	1.9622999429702759	2.0	39.0788	29.637	71.2517	20.0	600234.0	0.0	306.0	152.9443	5.3646	354.8788	1068.7676	1007.0	208758.0	385.0	1894.0	470.972	19.363622818142176
sub-CMH0001_ses-01_task-emp_run-2_bold	0.0017137172011661805	0.019796323760932946	8	55.15668862334315	1.0628684046861319	1.0110134399708022	0.5206	2526.3511	0.17394326671587831	141	20.55393586005831	2.710352960293235	2.8808592795671455	2.58909960131256	2.6611	0.00961943	0.023081542924046516	0.0484868660569191	686	106	106	72	2.488479006469327	0.800000011920929	1.9622999429702759	1.9622999429702759	2.0	37.6036	29.6239	68.6878	20.0	595324.0	0.0	293.0	147.7859	2.9149	316.8123	1033.6691	997.0	213668.0	431.0	1737.0	400.6454	21.016989081166685
sub-CMH0001_ses-01_task-rest_run-1_bold	0.0004480748663101604	0.012168370463458112	8	53.523062644785725	1.0542217253928559	0.9982658400535718	0.5064	2831.2971	0.1666546626395568	206	36.72014260249554	2.815070049165101	3.0869847505732504	2.6456403969220514	2.712585	0.00957007	0.03003312461078167	0.03638526052236557	561	106	106	72	2.1562343613360153	0.800000011920929	1.9622999429702759	1.9622999429702759	2.0	44.4446	26.6816	66.089	18.0	599930.0	0.0	287.0	147.5341	5.5195	326.6218	999.3337	945.0	209062.0	347.0	1767.0	438.263	24.90924185188487
sub-CMH0001_ses-01_task-rest_run-2_bold	0.001040143369175627	0.013479553082437276	11	51.161846126624745	1.0577505212746854	1.0080475191202873	0.5193	2817.1951	0.15006103794004022	148	26.523297491039425	2.687142795968422	2.866636173614366	2.5881772142908996	2.606615	0.0089522	0.02229420281946659	0.048798635601997375	558	106	106	72	2.4055927321343757	0.800000011920929	1.9622999429702759	1.9622999429702759	2.0	37.8406	26.6709	64.6334	18.0	593531.0	0.0	282.0	142.1341	3.2938	303.7793	969.4516	933.0	215461.0	374.0	1648.0	387.8453	24.92587426956743
sub-CMH0001_ses-02_task-emp_run-1_bold	0.0006774963609898108	0.015873591819505095	7	55.379757200000036	1.0658211552332355	0.9810719160641403	0.4664	6077.1704	0.11585749537521764	52	7.569141193595342	2.77382	3.0105	2.579345	2.731615	0.00995811	0.016031255945563316	0.03496553748846054	687	110	110	72	1.9842469612233544	0.800000011920929	2.0	2.0	2.0	71.439	17.7912	56.1783	12.0	671768.0	0.0	257.0	135.3627	6.1609	348.6424	1033.8862	961.0	199432.0	346.0	1879.0	484.3135	22.57724448852241
sub-CMH0001_ses-02_task-emp_run-2_bold	0.0005070246734397677	0.011652358896952104	5	51.74120056915698	1.066935874941861	0.9954915910319763	0.4876	6166.647	0.10625236127920117	11	1.5965166908563135	2.6799250000000003	2.903095	2.56921	2.56747	0.00849939	0.0116885369643569	0.05228931084275246	689	110	110	72	2.419376081633357	0.800000011920929	2.0	2.0	2.0	53.7611	17.7912	58.6884	12.0	664018.0	0.0	268.0	147.5822	3.482	312.5666	988.9188	951.0	207182.0	385.0	1667.0	393.0756	26.792857666267082
sub-CMH0001_ses-02_task-rest_run-1_bold	0.0008090196078431373	0.012397894973262031	8	55.95150569516071	1.0983878262142859	1.004789404589286	0.4646	6372.3765	0.13537577849734506	118	21.033868092691623	2.8081133333333335	3.05705	2.62927	2.73802	0.00806396	0.014820916578173637	0.038112446665763855	561	110	110	72	1.983425223519098	0.800000011920929	2.0	2.0	2.0	74.616	19.2712	59.9707	13.0	672084.0	0.0	272.0	146.5794	6.099	386.5377	1126.1002	1046.0	199116.0	384.0	2052.0	527.3692	25.136344921775162
sub-CMH0001_ses-02_task-rest_run-2_bold	0.0004853285968028419	0.011844302220248668	6	53.2866907627936	1.0772723783096092	0.9960681828647687	0.4853	6159.4907	0.15346287554672336	200	35.52397868561279	2.7067900000000003	2.924775	2.56846	2.627135	0.00965725	0.010809792205691338	0.04986075311899185	563	110	110	72	2.408896399516681	0.800000011920929	2.0	2.0	2.0	55.5478	19.2712	61.9994	13.0	664510.0	0.0	278.0	155.1853	3.2779	342.722	1081.2319	1039.0	206690.0	423.0	1831.0	431.3168	26.90761679026764
sub-CMH0002_ses-01_task-emp_run-1_bold	0.0005301313868613138	0.01748129401459854	9	62.69790814480996	1.083718983479532	1.0028320083187123	0.4799	1550.8568	0.15282399688898096	179	26.131386861313867	2.7371499999999997	2.967395	2.57605	2.668005	0.0025582	0.029529428109526634	0.022821467369794846	685	110	110	72	2.25680505522788	0.800000011920929	2.0	2.0	2.0	90.8866	36.9287	78.8484	25.0	694790.0	0.0	320.0	178.7804	2.404	338.5842	1035.185	989.0	176410.0	310.0	1807.0	438.2289	21.893446733243763
sub-CMH0002_ses-01_task-emp_run-2_bold	0.003104212827988339	0.017339951603498542	8	59.58569982472992	1.0758450296496347	1.04498940781022	0.4937	1440.8146	0.13818019063796927	104	15.160349854227405	2.7008083333333333	2.856595	2.6489	2.59693	0.00376078	0.02180095948278904	0.01653420552611351	686	110	110	72	2.2865187730331664	0.800000011920929	2.0	2.0	2.0	46.9204	36.9203	79.5644	25.0	686681.0	0.0	331.0	166.1677	2.1272	330.1751	1002.2528	958.0	184519.0	331.0	1752.0	418.9764	20.810081961448304
