trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0690415	0.01126
0.0367	0.0013	0.6712	-0.0022863813201125715	-0.0007696902001294993	0.0003159045946109737	1.75290847	134.99763489	1.44973967	0.8777988057426523	0.0506033	0.0068
0.0711	0.0272	1.1	-8.726646259971648e-06	-0.00019198621771937622	0.0017366026057343581	1.3414396	103.30897522	1.17376509	0.7029028333693055	0.0340825	0.00068
0.0562	0.0316	1.2179	-0.0005235987755982988	-0.0009704030641088471	0.000973893722612836	0.84115809	64.78054047	0.83328265	0.23999989294246596	0.0344224	0.00025
0.0171	0.236	1.5947	0.0006213372137099814	-0.0015882496193148398	0.0003577924966588376	1.03562534	79.75714111	0.9520455	0.7392441885234134	0.0318102	0.00012
-0.0372	0.4042	1.706	-0.0007958701389094143	-0.001843067690106012	-0.0006736970912698113	0.8321172	64.08426666	0.84324869	0.4689757505669608	0.0314111	8e-05
-0.0819	0.3343	1.5492	-0.004703662334124718	-0.0020350539078253884	-0.0017034413499464657	1.05508018	81.25543213	0.96881992	0.5278761335805668	0.0391404	0.00012
-0.1133	0.0987	1.3098	-0.008696975662687744	-0.0012932889757277981	-0.0026755897433073067	1.07388401	82.70358276	0.96572998	0.7917613327010726	0.0382251	7e-05
-0.127	0.0549	1.325	-0.010334094501058424	-0.0008779006137531476	-0.003454006589696778	0.72244602	55.6381073	0.75338201	0.21424620233674	0.0398722	5e-05
-0.135	0.0447	1.3257	-0.011632619464542205	-0.0006492624817418905	-0.003937462792499207	0.68531924	52.77884293	0.73893378	0.11943096491487352	0.042158	7e-05
-0.1581	0.101	1.5275	-0.010213666782670817	-0.0016301375213627037	-0.004705407663376713	0.88344449	68.03716278	0.86176617	0.4395886296184854	0.0410967	0.00013
-0.1918	0.2844	1.7423	-0.00898146433076282	-0.0023212879051524586	-0.005225515780471023	0.91543192	70.50062561	0.8752032	0.554073047639603	0.0372009	4e-05
-0.2103	0.3397	1.738	-0.010730284241261137	-0.0027384215963791032	-0.006187192198319898	0.80070037	61.66474915	0.8043159	0.23448150097869183	0.0397283	5e-05
-0.1848	0.1254	1.4772	-0.013259266327400921	-0.0032847096522533284	-0.006019640590128442	0.9429118	72.61695099	0.88026858	0.6627410875102732	0.0433284	7e-05
-0.1848	0.0587	1.458	-0.014891149178015619	-0.002453932928304027	-0.006281439977927592	0.72731459	56.01305008	0.75641006	0.2221229481181576	0.0462676	0.00011
-0.1852	0.0395	1.4588	-0.015896458827164357	-0.0021048670779051613	-0.006681120376634293	0.67786115	52.20446777	0.73536781	0.10810279491271536	0.0479314	0.00013
-0.2113	0.0884	1.5792	-0.015145967248806791	-0.002584832622203602	-0.007260569688296411	0.79062039	60.88845062	0.80258666	0.28589532171590604	0.0471775	7e-05
-0.2637	0.3804	1.3079	-0.0174829631172272	-0.0037646751965517687	-0.006661921754862355	1.50962257	116.26133728	1.2911967	0.8214743188101316	0.0693327	0.00385
-0.4351	0.8031	0.6691	-0.026408576911926197	-0.004066617157146788	-0.011369074747491064	1.62433279	125.09557343	1.39649109	1.929635437396136	0.0792739	0.00405
-0.4317	1.0652	0.8815	-0.028817131279678377	-0.008703956979695721	-0.010777408131064986	1.07556069	82.83270264	0.99494441	0.8597780403363594	0.073001	0.00245
-0.4713	1.1674	0.7952	-0.03059736711671259	-0.009155997255962252	-0.012058479802028822	0.74388701	57.28935242	0.77218378	0.403767389213229	0.0762374	0.00338
-0.5186	1.1229	0.7648	-0.03346145241923529	-0.009011134928046723	-0.014376277048677293	0.75158471	57.88217545	0.76975255	0.38853724385433475	0.0804552	0.00465
-0.5522	0.818	0.7604	-0.03251373863540236	-0.005082398781807488	-0.01640784029799869	0.8965202	69.04416656	0.86837725	0.6883006589696781	0.080296	0.00436
-0.5908	0.5344	0.8487	-0.03140021857262998	-0.00342259066316088	-0.017441075215179333	0.87465054	67.35990906	0.85286397	0.6008281549299817	0.0763006	0.00255
-0.6076	0.4303	0.9114	-0.033096678605568475	-0.0034313173094208515	-0.018053685782629343	0.69744641	53.71279907	0.74000535	0.29948986233242386	0.0789989	0.00312
0.1821	0.1436	0.3117	0.022980750261009333	-0.001228711793404008	0.005162683927399226	3.19535041	246.0851593	2.69085794	5.750920204631162	0.173942	0.08573
