trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.026188	0.00251
0.0067	0.052	0.0021	0.00011693705988362007	5.061454830783555e-05	4.363323129985824e-05	1.33721399	76.07364655	1.46396201	0.07135924197456568	0.0295674	0.00436
0.015	0.0248	0.0372	-0.0001239183768915974	4.18879020478639e-05	0.00023911010752322313	1.11407959	63.37961197	1.04790293	0.0928529479629277	0.0295842	0.00464
0.0337	-0.0727	0.0747	-0.00041015237421866745	-5.4105206811824215e-05	0.0005654866776461627	1.17119193	66.62870789	1.08950217	0.18913018381548488	0.0294371	0.00437
0.0465	0.0092	0.0253	0.00027925268031909274	0.00021467549799530252	0.000593411945678072	1.1290983	64.23401642	1.06061556	0.1934055513688398	0.0300131	0.00478
0.0522	0.0537	0.0268	0.0003717551306747922	0.000291469985083053	0.0006230825429619757	1.08307087	61.61553574	1.03054831	0.06164837673636768	0.0302091	0.00487
0.0527	0.0251	0.0568	0.00013264502315156904	0.0002897246558310587	0.0007208209810736582	1.08462608	61.7040062	1.03193802	0.07602969374434497	0.030322	0.00505
0.0593	-0.0922	0.086	-0.0004974188368183839	0.0001239183768915974	0.0008709192967451704	1.14356601	65.05708313	1.07122733	0.20039842272904632	0.0292534	0.00451
0.0667	-0.0108	0.0349	-0.0001658062789394613	0.00026354471705114377	0.0008883725892651138	1.12509298	64.00615692	1.06008622	0.1643346095279206	0.0286418	0.00411
0.0667	0.034	0.0362	-0.0001012290966156711	0.0003089232776029963	0.0008726646259971648	1.0974859	62.43559647	1.03393817	0.05238318530717959	0.0289559	0.00434
0.0691	0.0099	0.0609	-0.0005026548245743669	0.0002495820830351891	0.0009983283321407565	1.0973165	62.42596054	1.03759518	0.08052153143350473	0.0286002	0.00416
0.0765	-0.1003	0.0984	-0.0012671090369478833	-3.141592653589793e-05	0.0011833332328521555	1.15419161	65.66156769	1.07585538	0.21662285613280016	0.027479	0.00368
0.0745	-0.0019	0.038	-0.0007923794804054256	0.000158824961931484	0.0011938052083641214	1.14958215	65.39933777	1.08973354	0.19457212102609023	0.0268803	0.00314
0.0766	0.0449	0.0295	-0.0005794493116621174	0.00017802358370342162	0.0011903145498601325	1.08350825	61.64041519	1.0350838	0.06918097245096173	0.0269716	0.00348
0.0788	0.0059	0.0629	-0.0008133234314293575	0.00016929693744344995	0.0012758356832078548	1.10709786	62.98242188	1.06835562	0.0910060949687467	0.0274506	0.00362
0.073	-0.108	0.0935	-0.0013665928043115599	-2.6179938779914945e-05	0.0012409290981679683	1.14743972	65.27745819	1.06551872	0.1894826417072727	0.026137	0.00328
0.0659	-0.0113	0.0257	-0.0009791297103688187	9.773843811168246e-05	0.0010995574287564276	1.31988013	75.08753204	1.40128356	0.204237657012294	0.0242431	0.00146
0.0526	0.0471	0.0142	-0.0008412486994612669	0.00022165681500327985	0.0009669124056048585	1.14424944	65.09596252	1.12861871	0.10292222054753591	0.0233641	0.00127
0.0627	0.0205	0.0371	-0.0009093165402890458	0.00019547687622336493	0.0011466813185602744	1.27779424	72.69328308	1.36633407	0.07330083462815552	0.0260406	0.00274
0.0768	-0.1001	0.0747	-0.0015585790220309364	8.726646259971648e-06	0.0013980087308474581	1.18707848	67.53249359	1.15007734	0.22666700619962335	0.0254237	0.00295
0.0816	-0.022	0.0112	-0.0011239920382843482	4.18879020478639e-05	0.001473057888683214	1.35520136	77.09694672	1.45441907	0.17353986986851183	0.0221528	0.00101
0.0828	0.0457	0.0133	-0.0007243116395776468	0.0001012290966156711	0.0014014993893514465	1.14089274	64.90499878	1.04799416	0.09752900463031379	0.0235561	0.00114
0.0771	0.0422	0.029	-0.0007347836150896127	2.792526803190927e-05	0.0013543754995475996	1.25200391	71.22607422	1.33094124	0.031444984694978736	0.0260942	0.00269
0.0835	-0.0822	0.0947	-0.0014538592669112763	-0.0001361356816555577	0.0015184364492350666	1.20409942	68.50080872	1.19926727	0.24885987755982988	0.0258077	0.0032
0.0886	-0.0286	0.034	-0.0011449359893082802	2.792526803190927e-05	0.001579522973054868	1.28575778	73.14632416	1.36853001	0.14610353755551322	0.0240274	0.00154
0.0914	0.0464	0.0281	-0.0008290313946973065	8.203047484373349e-05	0.001514945790731078	1.1544354	65.67543793	1.14124452	0.1054293491873294	0.0251041	0.00223
0.0951	0.048	0.0405	-0.0007644542123735164	0.00014660765716752367	0.001621410875102732	1.20592916	68.60489655	1.25755994	0.029480972450961727	0.0263206	0.00354
0.1033	-0.0798	0.1072	-0.0014608405839192536	-0.000148352986419518	0.0017610372152622785	1.15119588	65.49114227	1.07484914	0.2592486677646163	0.0260303	0.00336
0.1059	-0.0251	0.0416	-0.0013596114873035826	-3.490658503988659e-05	0.001801179788058148	1.30474532	74.22651672	1.37675262	0.1356409035395586	0.0236631	0.00155
0.1082	0.0494	0.036	-0.0009581857593448868	6.632251157578452e-05	0.0017872171540421933	1.18831658	67.60292816	1.19130683	0.10823087292951608	0.025193	0.00231
0.099	0.0462	0.0451	-0.0009948376736367678	6.45771823237902e-05	0.0017313666179783749	1.13142681	64.3664856	1.14528061	0.026212388980384693	0.0256971	0.00294
