trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0473492	0.00526
-0.038	-0.02	0.0128	-0.0018064157758141308	0.00029496064358704166	-0.0012531464029319286	0.96789432	64.04881287	0.98033069	0.23852614111665504	0.0441062	0.00202
-0.0685	-0.0341	0.0277	-0.0035465090400524776	0.00037524578917878077	-0.002183406894244906	0.92544365	61.23971176	0.95119358	0.1970319450571532	0.0417636	0.0009
-0.1074	-0.0467	0.0384	-0.00538957673015849	0.0003054326190990077	-0.0032463124087094525	0.9123345	60.37223434	0.9382438	0.21098931873251656	0.040126	0.00064
-0.1471	-0.0622	0.0482	-0.007110471372624898	0.00018500490071139895	-0.004276056667386107	0.88488925	58.55609131	0.91760357	0.2085533309765336	0.0393969	0.00052
-0.1805	-0.0335	0.127	-0.007138396640656808	-0.0003944444109507184	-0.005019566928735692	0.93597782	61.93679428	0.95147371	0.20844424205218065	0.0407314	0.00058
-0.2699	0.1531	0.3485	-0.007220427115500541	-0.00027925268031909274	-0.006613052535806515	1.09563041	72.50154114	1.03495719	0.5870353906273091	0.0392625	0.00065
-0.3746	0.3213	0.4984	-0.010217157441174806	-0.0007155849933176752	-0.009218829109034049	0.96277058	63.70975876	0.94018308	0.724741960595019	0.0373145	0.00062
-0.418	0.3516	0.5157	-0.012475613493255468	-0.0009459684545809266	-0.010554005986809712	0.92681038	61.33015442	0.91249506	0.28220081955597887	0.0376012	0.00066
-0.4241	0.094	0.2258	-0.016311847189139004	-0.0005637413483941684	-0.011498229112138644	1.16163266	76.869133	1.06304669	0.8117341963699615	0.0327189	0.00033
-0.4291	-0.0024	0.2043	-0.017388715337619504	-7.504915783575618e-05	-0.0120654611190368	0.84709424	56.05506897	0.84759331	0.22953961729685343	0.0330393	0.00027
-0.3993	-0.0188	0.186	-0.015582299561805376	-0.0006911503837897545	-0.01117010721276371	0.86342382	57.13565063	0.86824002	0.2303935454020609	0.0348642	0.00044
-0.2674	-0.0861	0.0566	-0.004982915014443811	0.00048171087355043494	-0.008140215631301554	1.84946096	122.38504028	1.55951587	1.0687068693081956	0.0776935	0.01756
0.0891	-0.3834	-0.4718	0.03443883680035211	0.006988298324985294	0.0005410520681182421	2.49797463	165.29936218	2.10936985	3.9126803482825294	0.0985605	0.01298
0.1101	-0.4069	-0.4846	0.03320837967769611	0.0063407811724954	0.0019355701404617114	1.4829495	98.13174438	1.28688631	0.22092461737446817	0.0869732	0.0054
0.0989	-0.2641	-0.1969	0.027096236637211966	0.005232497097479001	0.0016598081186466073	1.22195542	80.86089325	1.09855735	0.8165094568657822	0.078168	0.00343
0.0822	-0.0322	0.1489	0.023015656846049223	0.004982915014443811	0.000947713783832921	1.1687814	77.34218597	1.07009937	0.8465128104505809	0.0708504	0.00218
0.0211	0.178	0.238	0.019716984559779938	0.0054873151682701725	-0.0007853981633974483	0.92021847	60.89394379	0.91266223	0.6372092193663007	0.0672473	0.00137
0.0169	0.2709	0.2175	0.020706586245660723	0.0053616514621265795	-0.0007766715171374765	1.02224159	67.64515686	0.98254773	0.17379960191421753	0.0728488	0.00276
0.0301	0.0296	-0.2749	0.02692519437051652	0.007007496946757234	-0.00035430183815484887	1.41848969	93.8662262	1.2439352	1.1612411644234537	0.0721887	0.00238
-0.0241	-0.2053	-0.2777	0.01820029343979687	0.006490879488166912	-0.00205599785884932	1.29706836	85.83136749	1.1471901	0.8390607205002224	0.056439	0.00044
-0.0443	-0.261	-0.2172	0.014199998794225866	0.006108652381980153	-0.0028728119487826664	0.92842591	61.4370575	0.89395515	0.3963667920845554	0.0531557	0.00039
-0.0395	-0.2631	-0.1687	0.011763519158441782	0.005632177496185701	-0.0033807027611130165	0.84555423	55.95315933	0.85884452	0.22644226669544423	0.0520133	0.00034
-0.0291	-0.2633	-0.1578	0.010471975511965976	0.0056042522281537915	-0.0036250488563922224	0.82213193	54.40322876	0.85243506	0.09969075048934604	0.0504361	0.00037
-0.0341	-0.2693	-0.161	0.009016370915802705	0.00558330827712986	-0.004016002608838952	0.83401662	55.18967819	0.86498048	0.10757511498169658	0.0488842	0.00031
-0.0508	-0.2604	-0.1362	0.006747442888210078	0.005419247327442393	-0.004614650542273007	0.8670578	57.37612534	0.89031411	0.20198184553570747	0.0460632	0.00031
-0.0982	-0.0792	0.0802	0.0037000980142279784	0.004661774432076854	-0.005532693728822024	1.03193963	68.28690338	0.98867139	0.6811430477948328	0.0443633	0.00028
-0.1627	0.1294	0.1769	0.0008761552845011534	0.004148647631990522	-0.006515314097694833	1.00716031	66.64717865	0.97145236	0.5857844949342983	0.0405364	0.00016
-0.2011	0.2797	0.1967	-0.0010925761117484504	0.0039898226700590365	-0.007145377957664784	0.91370076	60.46264648	0.92525197	0.346381010907552	0.0378897	0.0002
-0.2219	0.2979	0.1623	-0.0029373891311064567	0.003755948550291797	-0.007543313027119492	0.96640313	63.95013809	0.95147132	0.19723111042899769	0.0373606	0.00015
-0.2421	0.0628	0.0025	-0.006515314097694833	0.0036215581978882336	-0.007850490975470494	1.17585456	77.8102417	1.06498652	0.6160746633671471	0.0311516	0.00012
-0.25	-0.026	0.039	-0.008660323748395862	0.003572688978832392	-0.00830427658098902	0.94240355	62.36200333	0.91786464	0.26558322376376986	0.0297305	7e-05
-0.2615	-0.0506	0.0599	-0.010574949937833642	0.003373721444105039	-0.008810422064067375	0.84117764	55.66354752	0.8684376	0.1879869603621744	0.0289221	6e-05
-0.2687	-0.0561	0.0607	-0.011812388377497622	0.003586651612848347	-0.00914727060970228	0.81246591	53.76359558	0.8508971	0.10286085770210963	0.028319	6e-05
-0.3079	0.0364	0.1764	-0.011479030490366705	0.0037210419652519105	-0.009908234163571809	0.89005083	58.89764786	0.89771502	0.30883558967020047	0.028147	7e-05
-0.3494	0.1846	0.2842	-0.012533209358571279	0.003518583772020568	-0.010801842740592905	0.89052993	58.92935181	0.87962098	0.40501228192285055	0.02686	3e-05
-0.3444	0.0947	0.1406	-0.014618877814704502	0.003626794185644217	-0.011198032480795619	0.97444671	64.48240662	0.94806323	0.3680034304979793	0.0263344	3e-05
-0.3437	-0.018	0.0702	-0.016311847189139004	0.0040613811693908045	-0.01116661655425972	0.89893395	59.48547363	0.87642237	0.2917486142358493	0.0250421	3e-05
-0.3615	-0.0369	0.0907	-0.017235126363444004	0.004146902302738527	-0.011732103231905884	0.78847361	52.17594528	0.81825843	0.13591434926494428	0.0251855	3e-05
-0.3675	-0.0463	0.0954	-0.017893115491445864	0.0040561451816348215	-0.011927580108129249	0.76834363	50.84387589	0.80806092	0.06731115626644653	0.0258014	3e-05
-0.3772	-0.0488	0.1045	-0.01910088333382594	0.00416435559525847	-0.012346459128607889	0.7649073	50.61648178	0.803175	0.10804286382411828	0.025356	3e-05
-0.3992	-0.0505	0.1126	-0.020657717026604884	0.00429700061841004	-0.01301317490286972	0.76949674	50.92018127	0.80189754	0.14960972450961724	0.0256162	1e-05
-0.392	-0.0529	0.1168	-0.01845511151058804	0.004014257279586958	-0.012227776739472273	1.46680379	97.0633316	1.27595002	0.17733735091186864	0.0459044	0.00984
0.2304	-0.1935	-0.2052	0.048404961474810736	0.011061896799140061	0.0045553093477052	3.17449689	210.06710815	2.72167395	5.619539929606469	0.164032	0.07076
0.1351	0.1972	0.0847	0.03267779958508983	0.00915076126820627	0.0036285395148962112	3.11349297	206.03027344	2.66560845	1.704153362673184	0.104849	0.02326
0.0192	0.3383	0.2064	0.020504128052429384	0.007473499857039719	0.0007592182246175333	1.74919927	115.75038147	1.54988296	1.2147127117052838	0.0692456	0.00157
-0.0509	0.0765	-0.0407	0.012180652849668424	0.006473426195646968	-0.0011938052083641214	1.35442305	89.62671661	1.23026275	1.142828614856768	0.0542718	0.00052
-0.0939	-0.0728	-0.0764	0.0069027771916375736	0.005963790054064624	-0.002583087292951608	1.12778294	74.62918091	1.03164775	0.586839694210034	0.0467392	0.00027
-0.1139	-0.1015	-0.1014	0.0044540802510895285	0.005965535383316617	-0.003321361566545209	0.92875892	61.459095	0.93353021	0.23313582716968195	0.0438852	0.00023
-0.1468	0.0756	0.0955	0.002190388211252884	0.005564109655357922	-0.004331907203449926	1.04300022	69.01882172	1.00705588	0.5906831702350028	0.0417413	0.00025
-0.1927	0.3062	0.2157	-0.0011833332328521555	0.005096361415823441	-0.005419247327442393	1.05466473	69.79070282	1.0013556	0.6431404903815994	0.0369136	0.00012
-0.2407	0.4859	0.315	-0.0024155356847601517	0.005070181477043527	-0.006829473363053811	0.91093355	60.27952957	0.91213779	0.4604304213149664	0.0364891	0.00012
-0.2826	0.5853	0.3599	-0.004024729255098924	0.005010840282475721	-0.007813839061178614	0.89108038	58.96577835	0.89012275	0.31884502315156915	0.0359394	0.0001
-0.3671	0.2925	0.0211	-0.00797790001086608	0.005672320068981571	-0.009361946107697583	1.36000264	89.99594116	1.20144347	1.0242378794395983	0.0305869	0.0001
-0.3993	0.0876	-0.0376	-0.011276572297135364	0.0056985000077614855	-0.010454522219446033	1.0505023	69.51525879	0.97246759	0.5166714168398824	0.025455	2e-05
-0.4027	0.0194	-0.0359	-0.012826424672906329	0.00607898178469625	-0.010838494654884786	0.86646545	57.33692551	0.85733474	0.18901532940722407	0.0248274	4e-05
-0.3943	-0.0038	-0.0268	-0.013978341979222583	0.00628493063643158	-0.011171852542015703	0.78559607	51.98552704	0.82136394	0.12526120225912507	0.0245301	5e-05
-0.3987	-0.0254	-0.0337	-0.014800392056911913	0.006396631708559217	-0.011540117014186509	0.77889299	51.54196167	0.81420138	0.09800078109938867	0.0248815	3e-05
-0.3953	-0.0215	-0.0109	-0.015104079346758928	0.006204645490839842	-0.011655308744818132	0.78186882	51.73888397	0.81897082	0.06064326190990071	0.0249297	3e-05
-0.4306	0.1568	0.2867	-0.01417381885544595	0.005733406592801372	-0.01228362727553609	1.04135716	68.91009521	0.9917001	0.6126908960034705	0.0254381	4e-05
-0.4519	0.3906	0.4078	-0.015224507065146536	0.0056374134839416844	-0.012761847490582536	0.93598872	61.93751526	0.90455498	0.457445076680336	0.0255036	6e-05
-0.461	0.5466	0.4774	-0.015503759745465629	0.005276130328778859	-0.01278279144160647	0.848234	56.13048935	0.84414831	0.2677739893252926	0.0279737	0.0001
